Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
19,394,-0.02386474609375,-0.36376953125,-0.1163330078125,0.9238878900176866
20,401,0.746826171875,-0.3572998046875,-0.32000732421875,0.4606330763407716
21,401,0.68597412109375,-0.43145751953125,-0.34088134765625,0.47653312670753234
22,401,-0.02789306640625,-0.37432861328125,-0.35589599609375,0.8558259788589211
16,405,0.50238037109375,-0.5072021484375,-0.212646484375,0.6671891905921762
17,405,-0.02789306640625,-0.37432861328125,-0.35589599609375,0.8558259788589211
18,405,0.02728271484375,-0.26800537109375,-0.1099853515625,0.956729845346809
19,405,-0.02667236328125,-0.35504150390625,-0.11541748046875,0.9273148983722989
20,406,0.7437744140625,-0.35626220703125,-0.3172607421875,0.46821200571305754
21,406,0.6827392578125,-0.43011474609375,-0.33953857421875,0.4833031839868676
22,406,-0.05084228515625,-0.35833740234375,-0.36883544921875,0.8561365425685478
16,415,0.50042724609375,-0.50579833984375,-0.21038818359375,0.6704307741910825
17,415,-0.05084228515625,-0.35833740234375,-0.36883544921875,0.8561365425685478
18,415,0.02294921875,-0.26629638671875,-0.09765625,0.9586567814474793
19,415,-0.02874755859375,-0.34564208984375,-0.11279296875,0.9311191490909773
20,419,0.7412109375,-0.3544921875,-0.31524658203125,0.47493286646583044
21,419,0.67962646484375,-0.42913818359375,-0.33856201171875,0.4892075754593309
22,419,-0.07098388671875,-0.34796142578125,-0.3773193359375,0.8552860648474657
16,423,0.49859619140625,-0.50421142578125,-0.20843505859375,0.6735929797554612
17,423,-0.07098388671875,-0.34796142578125,-0.3773193359375,0.8552860648474657
18,423,0.02197265625,-0.2587890625,-0.08270263671875,0.9621360077387484
19,423,-0.02874755859375,-0.34564208984375,-0.11279296875,0.9311191490909773
20,430,0.7384033203125,-0.353515625,-0.3138427734375,0.48092614089212593
21,430,0.677978515625,-0.42852783203125,-0.33697509765625,0.493109331776513
22,430,-0.08892822265625,-0.34063720703125,-0.38348388671875,0.8538138983573825
16,434,0.4967041015625,-0.5025634765625,-0.20654296875,0.676797598678024
17,434,-0.08892822265625,-0.34063720703125,-0.38348388671875,0.8538138983573825
18,434,0.023193359375,-0.25445556640625,-0.06689453125,0.9644892713216769
19,434,-0.033935546875,-0.317626953125,-0.1131591796875,0.9408275598425441
20,440,0.73687744140625,-0.3529052734375,-0.31292724609375,0.48429953848704377
21,440,0.67779541015625,-0.42791748046875,-0.33575439453125,0.4947211319858406
22,440,-0.10589599609375,-0.33441162109375,-0.38946533203125,0.8516288280903547
16,444,0.49468994140625,-0.50079345703125,-0.2047119140625,0.6801329337026977
17,444,-0.10589599609375,-0.33441162109375,-0.38946533203125,0.8516288280903547
18,444,0.02734375,-0.25555419921875,-0.05096435546875,0.9650632129913853
19,444,-0.04022216796875,-0.29461669921875,-0.12091064453125,0.9470817249764563
20,451,0.73681640625,-0.35198974609375,-0.31201171875,0.4856474950912063
21,451,0.6785888671875,-0.4276123046875,-0.33563232421875,0.49397956349281297
22,451,-0.12225341796875,-0.327880859375,-0.39532470703125,0.8492741723737547
16,455,0.49273681640625,-0.49908447265625,-0.20281982421875,0.6833661081844356
17,455,-0.12225341796875,-0.327880859375,-0.39532470703125,0.8492741723737547
18,455,0.032470703125,-0.26068115234375,-0.03656005859375,0.9641858494952745
